#Table1
redshift,h_beta_flux,ra,dec,plate,mjd,fiberID
0.2353105,589.2418,189.99405,49.094498,1278,52735,96
0.2715582,136.7419,201.23872,48.044825,1282,52759,45
0.267134,385.2041,205.80273,47.231686,1284,52736,230
0.2369364,77.77452,211.01745,46.702703,1286,52725,384
0.2472644,160.9789,221.35769,38.143267,1350,52786,204
0.2855433,1055.885,224.57262,45.920802,1676,53147,518
0.2799852,334.2975,200.4954,52.744747,1041,52724,285
0.1854482,237.2337,213.98855,49.892939,1672,53460,363
0.1798888,942.0079,216.18987,49.388313,1672,53460,619
0.165382,1675.655,230.40128,24.481601,2160,53885,243
0.2934271,183.9163,207.093,24.947267,2115,53535,265
0.1934278,1505.347,191.79946,29.65291,2239,53726,239
0.2730165,113.0889,199.2403,64.302889,602,52072,22
0.2814984,70.19965,215.65822,-2.948679,917,52400,55
0.2682625,144.7218,227.58856,-2.0674332,922,52426,40
0.1263514,538.2548,213.98686,5.3415448,583,52055,527
0.2627973,384.6723,222.4404,42.378666,1290,52734,264
0.2134592,1652.594,216.55551,19.923534,2773,54533,640
0.1098744,1842.363,216.85438,19.831181,2774,54534,430
0.2991473,89.68754,220.83801,19.064471,2776,54554,495
0.2706725,247.8274,214.986,58.583792,789,52342,212
0.2318444,245.0868,208.69938,42.111521,1346,52822,278
0.1456012,789.1295,220.53208,38.736495,1350,52786,193
0.1680428,343.0688,210.5023,42.078201,1346,52822,116
0.2923579,1007.271,222.5214,46.589253,1675,53466,506
0.1830579,589.2766,196.32014,26.217787,2242,54153,253
0.2367526,152.3552,229.20441,49.502521,1330,52822,568
0.2682051,134.0795,197.36168,45.715832,1459,53117,78
0.2304113,400.3225,219.6385,10.33574,1711,53535,436
0.1139307,3027.972,197.89859,14.413114,1772,53089,77
0.2522766,81.94311,193.36544,14.915563,1771,53498,353
0.1649692,929.8559,198.52075,15.515065,1773,53112,333
0.2828774,125.221,206.88786,13.667078,1776,53858,28
0.2591701,173.6967,207.89858,13.956091,1778,53883,350
0.1972754,238.5981,215.67067,13.130609,1708,53503,400
0.2396989,128.4532,202.08597,31.257021,2110,53467,440
0.1132909,218.7301,209.71864,29.903667,2116,53854,621
0.1630809,287.6584,192.40251,33.508387,1987,53765,164
0.1182318,1080.492,196.39372,18.32581,2603,54479,443
0.2143538,649.4446,218.11796,63.175175,499,51988,9
0.2494513,252.4941,231.12225,35.25613,1354,52814,466
0.2574271,167.0749,204.65302,44.245134,1344,52792,615
0.237003,126.2934,197.0841,27.717609,2242,54153,588
0.2761594,79.36034,196.2596,28.10028,2242,54153,454
0.2883833,782.2548,213.0568,64.59414,498,51984,105
0.2567531,209.2478,209.78337,0.45889862,301,51942,505
0.2024562,112.2265,207.40871,3.5955258,855,52375,250
0.2426316,219.4765,208.02586,3.173636,530,52026,575
0.2973105,283.6123,222.96478,59.233301,608,52081,65
0.2642231,1227.179,216.95544,38.104921,1381,53089,501
0.2460904,358.9481,221.37341,36.770775,1383,53116,321
0.2252122,359.2988,203.43947,41.691037,1464,53091,415
0.2762372,451.7043,214.93653,39.221522,1380,53084,510
0.2820169,452.3181,227.88557,10.16476,1718,53850,79
0.2848544,245.4682,227.46747,11.179732,1718,53850,490
0.2703313,213.1635,192.22459,34.408189,1987,53765,464
0.2805525,345.6085,196.60401,34.026634,2006,53476,623
0.1473606,495.8312,196.80142,34.106259,2006,53476,628
0.2404175,268.8527,205.80587,65.68624,497,51989,179
0.2987612,130.8399,207.77929,65.524292,497,51989,44
0.2779047,89.90127,196.35413,57.899204,1318,52781,620
0.1215033,2143.585,208.81895,56.212429,1323,52797,443
0.1499933,835.6785,192.41,46.790302,1455,53089,68
0.1427399,1315.658,195.15092,13.784915,1771,53498,100
0.187615,854.1714,210.71333,26.521553,2120,53852,59
0.1453624,420.1388,217.37638,25.091518,2131,53819,15
0.2588019,171.1441,198.30056,28.791672,2009,53904,70
0.2493957,312.7607,195.40194,24.359458,2662,54505,172
0.09831072,4170.931,211.59122,22.396265,2784,54529,10
0.2226322,1267.704,202.08503,24.157621,2664,54524,39
0.1600988,354.0004,210.81633,22.979261,2784,54529,535
0.1724894,571.5805,212.67293,22.560304,2785,54537,499
0.214991,203.1797,210.44595,23.403692,2784,54529,481
0.2514291,215.3567,211.37717,28.456825,2122,54178,46
0.2743539,223.0222,194.81354,9.5344458,1793,53883,280
0.1137073,1965.385,214.25341,44.935101,1287,52728,296
0.1868422,502.7711,219.57005,7.5981089,1813,53903,285
0.2567506,180.3115,219.37696,7.8577728,1813,53903,302
0.2681072,592.9573,228.78096,6.9523258,1818,54539,268
0.2746552,86.26176,199.69639,9.7944619,1798,53851,559
0.2018719,518.0533,216.66944,32.197761,1841,53491,317
0.2753552,437.241,221.29225,30.832525,1842,53501,67
0.282989,480.0306,200.40359,35.931526,2023,53851,531
0.1303311,1565.531,212.11594,24.156859,2124,53770,91
0.0863796,2033.969,205.98645,25.646581,2246,53767,66
0.2988524,146.7687,207.72106,25.391704,2115,53535,556
0.2327143,647.4112,216.81286,23.486403,2132,53493,155
0.2451501,498.8271,211.03283,18.868998,2757,54509,534
0.1820049,635.4926,192.7127,6.1527773,847,52426,602
0.2346111,66.01272,195.60807,-1.0864508,294,51986,299
0.2969392,478.4542,200.20163,3.044586,526,52312,457
0.2089116,60.35434,199.97147,3.5600085,526,52312,410
0.2688896,1217.897,200.43736,3.5154783,526,52312,537
0.2195398,349.2582,216.70325,0.88983017,305,51613,550
0.2362584,156.9879,194.76806,50.814592,1280,52738,361
0.2355146,272.791,223.15788,44.992343,1676,53147,255
0.1503511,311.1623,228.58553,42.745965,1677,53148,15
0.2744993,457.9528,213.89977,48.595465,1672,53460,237
0.2069422,72.75501,192.05762,36.406564,2022,53827,553
0.1502831,531.9232,209.30256,17.078929,2743,54259,576
0.1882003,153.3029,202.47864,18.344938,2641,54230,284
0.2595482,143.6215,202.55188,18.435266,2641,54230,269
0.2375693,285.3593,213.67513,16.968668,2758,54523,14
0.2754462,556.1118,196.98572,1.1193517,294,51986,528
0.243979,273.9038,209.62326,1.152386,531,52028,207
0.2399261,118.7445,194.7817,59.747217,957,52398,520
0.2679094,2752.637,221.69141,40.584933,1397,53119,190
0.2715686,97.5112,197.82724,46.583963,1461,53062,358
0.2308415,598.3192,225.31025,39.657718,1398,53146,482
0.2825226,497.5895,229.43231,7.0226812,1817,53851,35
0.1909368,529.3924,203.76098,9.7235453,1802,53885,192
0.2478844,49.07101,204.05125,9.7963404,1802,53885,491
0.17813,2506.536,212.72266,9.174159,1809,53792,602
0.129768,1777.444,223.64313,8.0602028,1814,54555,573
0.2800465,48.78432,199.40805,10.4077,1798,53851,410
0.2801969,135.7899,206.9706,10.092184,1804,53886,633
0.2848062,483.3466,213.16348,9.5134455,1810,53794,439
0.2738303,388.1747,192.93209,32.692657,1987,53765,82
0.2904827,170.442,202.39762,22.269577,2653,54230,372
0.2577475,41.14272,198.95998,23.074585,2651,54507,448
0.191827,240.5085,190.40521,44.748304,1372,53062,589
0.2617957,627.5483,223.2818,38.055463,1351,52790,424
0.2047822,125.6766,224.8008,37.473397,1351,52790,103
0.2507105,138.4066,227.7914,42.57626,1677,53148,88
0.2349069,183.8473,204.96447,50.183616,1669,53433,240
0.2164237,86.3111,209.55501,28.536656,2118,53820,564
0.2588363,428.948,222.1829,25.521324,2143,54184,446
0.07700984,1357.127,211.75167,28.454071,2123,53793,443
0.2308016,101.603,210.33386,18.48414,2757,54509,462
0.1170313,1324.26,220.67,5.4064643,1829,53494,249
0.1740427,102.6267,228.72196,5.6102368,1834,54562,341
0.2076814,1192.412,221.06111,6.5518765,1829,53494,464
0.2016241,86.80108,189.81417,53.2374,885,52379,449
0.2491418,99.44942,198.21835,50.274436,1281,52753,569
0.2076394,189.9836,217.3924,44.79691,1288,52731,236
0.1898469,484.8739,224.10001,42.300066,1290,52734,136
0.2834726,213.1042,224.03596,38.010716,1351,52790,492
0.2382287,709.6618,229.85668,44.132141,1051,52468,265
0.2766464,339.8229,208.89248,39.140907,1378,53061,208
0.2705555,119.7763,228.40449,20.19267,2156,54525,193
0.1637161,2766.563,209.1065,25.256598,2119,53792,479
0.2997678,81.89317,221.50357,22.55162,2144,53770,263
0.2860429,399.4718,230.47421,59.672237,613,52345,152
0.2078367,131.7802,195.89711,-0.82019358,294,51986,260
0.2524521,174.6231,222.37704,-0.79621972,308,51662,43
0.2960864,159.7934,204.20461,-0.34926536,298,51955,103
