#Table1
plate,mjd,fiberID,sigma_balmer,sigma_forbidden
2743,54259,26,500,165.5626
2743,54259,581,315.8777,198.4368
2746,54232,150,500,388.9426
2746,54232,158,500,500
1042,52725,132,500,372.0511
1046,52460,170,500,237.4521
1047,52733,355,500,305.2516
1289,52734,449,500,144.7079
1711,53535,436,500,500
2002,53471,538,500,241.7838
2110,53467,43,500,207.897
2237,53828,448,500,290.4731
2607,54184,178,288.8769,245.6192
2743,54259,26,500,165.5626
2743,54259,581,315.8777,198.4368
2746,54232,150,500,388.9426
2746,54232,158,500,500
1397,53119,190,500,500
1398,53146,482,500,153.2401
1461,53062,358,189.7469,196.8041
1777,53857,612,500,156.7997
2125,53795,432,500,326.2671
2157,54242,195,500,500
1397,53119,190,500,500
1398,53146,482,500,153.2401
1461,53062,358,189.7469,196.8041
1777,53857,612,500,156.7997
2125,53795,432,500,326.2671
2157,54242,195,500,500
294,51986,528,500,500
531,52028,207,500,500
582,52045,428,500,169.6782
590,52057,176,500,500
582,52045,384,267.576,224.9706
584,52049,547,500,273.9251
592,52025,376,500,146.2344
1040,52722,476,500,500
1041,52724,440,500,500
1351,52790,103,500,401.5447
1351,52790,424,500,216.4324
1372,53062,589,229.9919,117.4041
1813,53903,471,500,493.8355
1815,53884,156,500,479.5143
2093,53818,123,500,135.1962
2094,53851,630,500,120.9101
2110,53467,518,500,174.6334
2116,53854,520,254.6859,158.7244
2122,54178,200,500,346.6187
2122,54178,436,500,256.0496
2649,54212,215,500,287.4065
294,51986,528,500,500
531,52028,207,500,500
582,52045,428,500,169.6782
590,52057,176,500,500
582,52045,384,267.576,224.9706
584,52049,547,500,273.9251
592,52025,376,500,146.2344
1040,52722,476,500,500
1041,52724,440,500,500
1351,52790,103,500,401.5447
1351,52790,424,500,216.4324
1372,53062,589,229.9919,117.4041
1813,53903,471,500,493.8355
1815,53884,156,500,479.5143
2093,53818,123,500,135.1962
2094,53851,630,500,120.9101
2110,53467,518,500,174.6334
2116,53854,520,254.6859,158.7244
2122,54178,200,500,346.6187
2122,54178,436,500,256.0496
2649,54212,215,500,287.4065
495,51988,515,500,238.9233
497,51989,437,317.6228,231.2858
2947,54533,473,500,172.8853
1165,52703,202,133.0485,316.6085
2641,54230,269,500,500
2641,54230,284,200.9978,175.0959
2743,54259,576,500,242.3329
2745,54231,295,500,357.6689
2750,54242,86,500,207.0051
2758,54523,14,500,236.0857
495,51988,515,500,238.9233
497,51989,437,317.6228,231.2858
2947,54533,473,500,172.8853
1165,52703,202,133.0485,316.6085
2641,54230,269,500,500
2641,54230,284,200.9978,175.0959
2743,54259,576,500,242.3329
2745,54231,295,500,357.6689
2750,54242,86,500,207.0051
2758,54523,14,500,236.0857
603,52056,260,500,290.2656
604,52079,90,500,120.2783
606,52365,290,293.1933,208.8995
605,52353,120,500,500
583,52055,527,500,231.7396
917,52400,55,381.1179,252.2928
922,52426,40,176.7101,266.9475
1041,52724,285,500,500
1344,52792,615,500,131.3832
1354,52814,466,434.0521,212.5933
1672,53460,363,213.2628,147.9854
1672,53460,619,500,500
1676,53147,518,500,500
603,52056,260,500,290.2656
604,52079,90,500,120.2783
606,52365,290,293.1933,208.8995
605,52353,120,500,500
583,52055,527,500,231.7396
917,52400,55,381.1179,252.2928
922,52426,40,176.7101,266.9475
1041,52724,285,500,500
1344,52792,615,500,131.3832
1354,52814,466,434.0521,212.5933
1672,53460,363,213.2628,147.9854
1672,53460,619,500,500
1676,53147,518,500,500
958,52410,415,500,182.4239
958,52410,525,500,182.7249
850,52338,248,500,500
958,52410,606,250.1012,233.134
850,52338,234,500,500
855,52375,251,500,176.3337
856,52339,10,500,404.2078
1798,53851,410,264.8287,285.4751
1802,53885,192,369.0692,500
1802,53885,491,285.849,262.8479
1804,53886,633,500,394.1891
1809,53792,602,500,366.3263
1810,53794,439,500,176.1414
1814,54555,573,500,313.0385
1817,53851,35,500,500
2142,54208,292,500,179.8817
2142,54208,499,333.944,187.2477
2142,54208,621,380.6542,246.2103
958,52410,415,500,182.4239
958,52410,525,500,182.7249
850,52338,248,500,500
958,52410,606,250.1012,233.134
850,52338,234,500,500
855,52375,251,500,176.3337
856,52339,10,500,404.2078
1798,53851,410,264.8287,285.4751
1802,53885,192,369.0692,500
1802,53885,491,285.849,262.8479
1804,53886,633,500,394.1891
1809,53792,602,500,366.3263
1810,53794,439,500,176.1414
1814,54555,573,500,313.0385
1817,53851,35,500,500
2142,54208,292,500,179.8817
2142,54208,499,333.944,187.2477
2142,54208,621,380.6542,246.2103
885,52379,449,288.9515,397.9982
1162,52668,483,500,166.6819
1164,52674,422,500,500
1164,52674,480,500,190.2351
1795,54507,457,500,256.7616
299,51671,133,500,298.4399
299,51671,580,158.8987,164.236
300,51943,206,500,236.1799
529,52025,195,209.7024,149.4925
913,52433,132,500,500
2778,54539,572,500,256.1092
2789,54555,231,500,201.4521
2792,54556,89,500,268.7717
885,52379,449,288.9515,397.9982
1162,52668,483,500,166.6819
1164,52674,422,500,500
1164,52674,480,500,190.2351
1795,54507,457,500,256.7616
299,51671,133,500,298.4399
299,51671,580,158.8987,164.236
300,51943,206,500,236.1799
529,52025,195,209.7024,149.4925
913,52433,132,500,500
2778,54539,572,500,256.1092
2789,54555,231,500,201.4521
2792,54556,89,500,268.7717
294,51986,194,500,182.3425
522,52024,28,500,137.6346
524,52027,165,500,500
527,52342,33,299.7843,223.1587
960,52425,214,500,500
1467,53115,637,500,160.6202
1718,53850,79,500,213.4854
1718,53850,490,500,500
2119,53792,479,500,296.1159
2144,53770,263,242.0898,500
2156,54525,193,500,301.1621
294,51986,194,500,182.3425
522,52024,28,500,137.6346
524,52027,165,500,500
527,52342,33,299.7843,223.1587
960,52425,214,500,500
1467,53115,637,500,160.6202
1718,53850,79,500,213.4854
1718,53850,490,500,500
2119,53792,479,500,296.1159
2144,53770,263,242.0898,500
2156,54525,193,500,301.1621
605,52353,568,500,500
340,51990,174,500,179.4299
910,52377,167,269.0103,251.2985
341,51690,600,500,166.5811
912,52427,339,187.6587,297.3074
1322,52791,389,278.8854,195.8755
1377,53050,358,500,500
1377,53050,514,500,493.0775
1377,53050,554,500,170.313
1378,53061,158,102.9763,132.1626
1383,53116,476,500,388.6409
1462,53112,64,500,500
1464,53091,390,500,500
1464,53091,550,500,216.5743
2022,53827,553,252.7566,243.2659
2115,53535,556,500,125.4515
2124,53770,91,500,495.8735
2132,53493,155,500,500
2246,53767,66,500,500
2661,54505,197,291.2188,217.3974
2662,54505,293,471.7532,500
2771,54527,419,500,500
605,52353,568,500,500
340,51990,174,500,179.4299
910,52377,167,269.0103,251.2985
341,51690,600,500,166.5811
912,52427,339,187.6587,297.3074
1322,52791,389,278.8854,195.8755
1377,53050,358,500,500
1377,53050,514,500,493.0775
1377,53050,554,500,170.313
1378,53061,158,102.9763,132.1626
1383,53116,476,500,388.6409
1462,53112,64,500,500
1464,53091,390,500,500
1464,53091,550,500,216.5743
2022,53827,553,252.7566,243.2659
2115,53535,556,500,125.4515
2124,53770,91,500,495.8735
2132,53493,155,500,500
2246,53767,66,500,500
2661,54505,197,291.2188,217.3974
2662,54505,293,471.7532,500
2771,54527,419,500,500
1280,52738,361,172.5456,162.625
793,52370,127,500,216.7979
1397,53119,316,500,500
1465,53082,240,500,136.3375
886,52381,396,500,500
1396,53112,175,500,500
1397,53119,399,500,500
1465,53082,30,500,180.5377
1667,53430,543,298.0428,220.9663
1673,53462,108,500,388.0158
1673,53462,598,500,266.1505
1675,53466,428,500,123.5859
1704,53178,389,500,500
1774,53759,602,500,155.4407
1776,53858,612,500,180.601
2757,54509,462,500,500
1280,52738,361,172.5456,162.625
793,52370,127,500,216.7979
1397,53119,316,500,500
1465,53082,240,500,136.3375
886,52381,396,500,500
1396,53112,175,500,500
1397,53119,399,500,500
1465,53082,30,500,180.5377
1667,53430,543,298.0428,220.9663
1673,53462,108,500,388.0158
1673,53462,598,500,266.1505
1675,53466,428,500,123.5859
1704,53178,389,500,500
1774,53759,602,500,155.4407
1776,53858,612,500,180.601
2757,54509,462,500,500
1318,52781,620,313.1288,354.1772
1323,52797,443,500,255.7303
1455,53089,68,500,500
1647,53531,225,300.6992,210.2779
2006,53476,618,500,500
1714,53521,408,146.959,121.7439
2242,54153,253,500,500
2746,54232,494,500,500
1318,52781,620,313.1288,354.1772
1323,52797,443,500,255.7303
1455,53089,68,500,500
1647,53531,225,300.6992,210.2779
2006,53476,618,500,500
1714,53521,408,146.959,121.7439
2242,54153,253,500,500
2746,54232,494,500,500
852,52375,349,500,500
1285,52723,39,500,500
1285,52723,484,252.5295,217.5307
1318,52781,42,500,500
1318,52781,201,500,166.7254
1381,53089,326,500,269.2477
1792,54270,124,280.432,250.6766
1797,54507,139,214.0528,167.5843
1838,53467,410,500,311.1411
2033,53476,104,500,500
2033,53476,512,500,500
2101,53858,118,500,230.0893
2618,54506,416,500,318.4882
2755,54507,65,500,248.35
2756,54508,228,500,500
852,52375,349,500,500
1285,52723,39,500,500
1285,52723,484,252.5295,217.5307
1318,52781,42,500,500
1318,52781,201,500,166.7254
1381,53089,326,500,269.2477
1792,54270,124,280.432,250.6766
1797,54507,139,214.0528,167.5843
1838,53467,410,500,311.1411
2033,53476,104,500,500
2033,53476,512,500,500
2101,53858,118,500,230.0893
2618,54506,416,500,318.4882
2755,54507,65,500,248.35
2756,54508,228,500,500
602,52072,22,500,178.9153
1044,52468,368,500,210.0693
1048,52736,589,500,500
1050,52721,458,500,500
1050,52721,584,500,500
1778,53883,283,354.9791,159.4018
1667,53430,84,425.9566,265.9785
1669,53433,63,500,487.8565
1673,53462,270,286.7741,206.2025
2016,53799,61,500,472.0816
2126,53794,85,500,245.1043
2126,53794,496,500,177.1299
2130,53881,427,500,152.8228
2134,53876,268,213.3941,158.7549
2137,54206,99,500,190.9769
2145,54212,76,500,134.585
602,52072,22,500,178.9153
1044,52468,368,500,210.0693
1048,52736,589,500,500
1050,52721,458,500,500
1050,52721,584,500,500
1778,53883,283,354.9791,159.4018
1667,53430,84,425.9566,265.9785
1669,53433,63,500,487.8565
1673,53462,270,286.7741,206.2025
2016,53799,61,500,472.0816
2126,53794,85,500,245.1043
2126,53794,496,500,177.1299
2130,53881,427,500,152.8228
2134,53876,268,213.3941,158.7549
2137,54206,99,500,190.9769
2145,54212,76,500,134.585
495,51988,207,500,500
784,52327,253,500,189.1828
1702,53144,597,500,137.2184
1675,53466,62,500,500
2009,53904,70,500,500
2120,53852,59,500,358.9092
2131,53819,15,500,278.9763
2614,54481,279,500,183.3782
2614,54481,350,226.5555,209.3104
495,51988,207,500,500
784,52327,253,500,189.1828
1702,53144,597,500,137.2184
1675,53466,62,500,500
2009,53904,70,500,500
2120,53852,59,500,358.9092
2131,53819,15,500,278.9763
2614,54481,279,500,183.3782
2614,54481,350,226.5555,209.3104
301,51942,545,500,500
1158,52668,359,500,358.5085
1159,52669,65,500,500
1160,52674,171,500,500
1162,52668,141,500,301.2327
1290,52734,264,500,267.5315
1672,53460,237,500,380.702
1676,53147,255,500,179.0517
1677,53148,15,246.5088,229.4217
2650,54505,207,500,227.0156
301,51942,545,500,500
1158,52668,359,500,358.5085
1159,52669,65,500,500
1160,52674,171,500,500
1162,52668,141,500,301.2327
1290,52734,264,500,267.5315
1672,53460,237,500,380.702
1676,53147,255,500,179.0517
1677,53148,15,246.5088,229.4217
2650,54505,207,500,227.0156
526,52312,457,500,251.2986
305,51613,550,500,206.2327
526,52312,410,168.6607,300.381
526,52312,537,500,280.0885
