#Table1
specobjid,plate,mjd,fiberID,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,w1,w2,w3
865828374356977664,769,54530,41,BROADLINE,0.02513611,430.9927,8.300897,152.5057,5.959872,36.50747,4.036982,238.2887,6.705326,12.072,12.066,10.455
2526679158688344064,2244,53795,581,STARBURST,0.02347278,1971.623,25.56155,9020.701,64.37395,2298.977,25.14126,3308.57,28.09887,11.964,11.754,7.23
552933160195745792,491,51942,423,STARBURST,0.004341363,1133.017,8.281463,2355.37,13.34936,754.8333,5.709908,391.5725,3.504659,11.669,11.651,8.313
2041397608953440256,1813,53903,513,STARFORMING,0.03412072,53.54943,5.778034,770.9416,11.18044,169.6114,5.891181,360.8974,9.146593,11.461,11.491,9.233
2408390675507734528,2139,53878,330,AGN,0.03284448,8954.299,336.4544,1419.468,16.06351,371.9298,8.265826,1863.039,17.11659,11.357,10.837,7.014
1848778826587334656,1642,53115,186,STARBURST,0.008983301,2543.769,27.38082,10535.55,88.01028,2892.479,28.73326,3413.544,26.48274,12.057,12.009,8.334
3001653070900783104,2666,54230,14,BROADLINE,0.02754135,161.6243,9.753291,260.5184,14.73694,54.38554,8.684743,340.0758,14.16312,11.205,11.213,9.765
2237199187068348416,1987,53765,131,STARFORMING,0.02358686,212.0179,16.22747,3774.398,39.88626,914.5603,18.12823,2802.572,32.3799,10.771,10.658,6.962
552979339684112384,491,51942,591,BROADLINE,0.05412364,42.747,3.851512,129.8605,5.637755,36.46496,3.902609,142.3213,4.99173,12.034,12.071,11.642
2821616837089847296,2506,54179,406,BROADLINE,0.02581372,81.0508,6.280461,136.318,8.123918,51.23298,5.592076,155.2486,8.314696,11.584,11.645,10.496
1606776865073162240,1427,52996,428,STARFORMING BROADLINE,0.02315757,74.1441,9.403006,714.7249,17.41828,170.5236,9.186022,393.6058,15.97105,11.082,11.116,9.092
644161295041456128,572,52289,533,AGN BROADLINE,0.01323642,197.7986,7.789933,356.8911,10.80243,133.17,6.825459,242.5154,9.877389,11.423,11.544,10.608
