          specobjid         ra        dec
2837371745999022080 237.052660  11.279517
2837405555981576192 237.872220  11.865249
2837419024999016448 238.346570  11.959181
2837438816208316416 238.578810  12.125754
2837441290109478912 238.946560  11.625541
2838536952674805760 239.377870  15.956055
2838562516320151552 240.149010  15.685631
 345669990998894592 220.234820  -0.318170
 346829700871514112 221.546370  -0.222966
 347988041941411840 222.847580   0.007093
 617131445856528384 126.520000  45.968710
 620486880584034304 134.153910  51.920371
 621515198817134592 136.796260  50.712758
 621530317102016512 136.370210  51.413589
 621586392195033088 134.100970  51.879737
 621595463165962240 134.544990  52.182833
 621596012921776128 134.655450  51.878488
 621633396317120512 135.867760  51.983503
 881742943541553152 198.896030  62.124640
 884974133237016576 208.539000  60.678055
 887264141398534144 212.619830  59.259706
 887294652846204928 210.190520  59.328281
 887383163532240896 215.654480  59.930911
1146172197308491776 183.540570  54.525971
1146264831163131904 179.117190  55.125236
1456925795636242432 234.660420  36.958355
1629340769900849152 179.717500  42.722419
1631457329717209088 182.308790  47.058364
1631521926025340928 180.711160  48.636205
2016528586168625152 193.461770   9.709661
2016615997343033344 192.869270   9.922709
2017753717066983424 193.761910   8.065550
2260967599904942080 176.336640  32.722250
2671852626252949504 152.666360  20.070179
2968032751619434496  36.617888   1.160503
2968034675764783104  36.505206   1.018089
2968047045270595584  37.086905   0.687233
 709384320791373824 251.753180  39.061343
 709400813465790464 250.846420  39.806447
1012234912620636160 137.915600  46.639743
1013333050144090112 140.622880  47.262443
1013340196969670656 141.981480  48.081990
1013425409120823296 140.980550  49.504457
1013481209335932928 142.778180  49.079751
1014509252775012352 142.555520  49.488300
1199113680743065600  50.245430  -0.367660
1606717491445262336 154.492430  37.181574
1606755699474327552 153.371190  38.619842
1606766969468512256 153.496630  38.657206
1606776865073162240 153.688880  38.980999
1610134773685053440 156.430390  39.646380
1611166390302042112 161.015350  43.903369
1611210370767153152 159.655180  44.523094
1611227962953197568 158.671620  44.625353
1611231811243894784 159.027360  44.033580
1611268370005518336 158.785790  45.084639
1611297232185747456 159.526680  44.844677
1997391028025321472 201.214190  13.737851
1999772022116214784 206.706050  14.400467
2001900127291205632 209.014180  13.505841
2001955652628408320 208.034830  14.116232
2256389512793974784 181.819560  32.075601
2526679158688344064 201.713650  26.591242
2528787746642749440 205.933970  25.392148
2942115894857328640 189.624720  19.989267
3229216522308184064 156.752320  17.816761
 313129123717343232 167.232400   0.444804
 315350407251519488 169.649240   0.419767
 315360852611983360 170.200040   0.468606
 561935137542006784 215.992570  65.216746
 564120695924090880 150.987140   1.512362
 564146534447343616 149.951200   1.095126
 564176496139200512 150.529330   3.057686
 564231471720589312 151.512980   3.109799
1350026051664766976 133.692930  39.538826
1351143154891384832 136.404920  41.092279
1351148927327430656 136.200280  40.591710
1351159097809987584 135.758920  40.433984
1641565689917499392 196.466470  41.721908
1982799127909525504 175.415560  15.965716
2188792631524354048 145.341410  28.114477
2188856128320858112 144.125660  28.503368
2189913858540333056 147.019520  32.882502
2191148610853300224 147.421680  32.221106
2429795698552629248 229.599660  23.924562
2900491676537612288 138.398300  12.440814
2901524667711907840 138.820690  11.885692
 389691963177199616 244.181510   0.246461
 392955038911195136 255.713140  62.964796
 392956963056543744 256.489270  63.015439
 392990498161190912 253.889110  63.242126
 393002317911189504 253.015220  63.115797
 393022933754210304 252.084390  62.976435
 393049596911183872 253.313110  64.476227
 393066914219321344 252.960880  63.714560
 393091928108853248 255.367570  63.691103
 393100449323968512 255.914470  64.134331
 622766443166984192 138.357890  52.981313
 622779087550703616 139.416340  52.992931
 622786509254191104 139.189680  53.442927
 624967395047401472 141.327760  55.587588
 624974541872982016 141.921430  55.917358
 625000380396234752 142.548970  55.852421
 629436910653171712 154.887640  58.205744
1700128700739119104  40.672359  -0.009304
1701331290810247168  40.667412  -0.011667
1916435076065814528 209.305000  12.021325
1917549442089641984 211.206120  11.395510
1918579399188310016 211.250790  13.131891
1918590669182494720 211.228080  12.704690
2358855745753081856 179.403610  32.277617
2358928863276328960 181.785330  32.995884
2361153725340346368 176.917010  33.789025
2362202658913150976 173.614770  33.179035
2651627934896384000 161.467780  25.951576
2651632058064988160 161.677160  25.931555
2651652124152195072 162.184200  26.053646
2654936365468248064 161.457530  27.619789
2654998487875217408 162.050760  28.601791
2946621418982369280 197.501280  19.718346
3184187947519862784 128.014100  -4.152543
3185235510327011328 255.119580  28.025797
3185236334960732160 254.940480  28.262442
3185256675925846016 254.480040  27.699365
 502297900236171264 131.105960  55.024357
 502299549503612928 131.223100  55.054039
 503287185454163968 134.241650  52.065963
 504526335444543488 133.645490  57.166712
1070871314249574400 170.574570  59.074515
1071863898556098560 174.535610  58.758288
1550382089956780032 207.434770  39.984776
1551583856350488576 207.233630  39.985185
1551596775612114944 207.855730  40.213272
1551606121460951040 208.439840  40.338678
1551607495850485760 208.340100  40.363945
1874667100409194496  50.205517  41.370693
1874668199920822272  49.899599  41.151080
1874691289665005568  49.372549  40.396513
1874695412833609728  49.179073  41.324907
1874714654287095808  48.698876  42.222719
1874719052333606912  48.755911  42.035834
1874731971595233280  49.114680  41.627042
1874732521351047168  49.004132  42.074297
1874750663292905472  49.593772  41.409774
1874761108653369344  49.892654  41.580530
1874774302792902656  50.510890  41.973506
1874777051571972096  50.392521  41.506150
1874781174740576256  50.723901  42.553193
1875752318637467648  50.953516  40.557792
1875771560090953728  50.366141  40.872226
1875775408381650944  50.311429  40.253634
2067246588706711552 233.801990   5.063002
2491718812043339776 167.357510  29.569247
2808024949141301248 170.727570  16.590032
2811419141200701440 171.206920  23.945232
2811466145322788864 169.875010  24.989325
3100760300417214464 233.743920  11.750287
 409913086674233344 245.381870  -0.072364
 412190450418477056 261.463940  60.194130
 413269895623501824 259.598870  55.359980
 417743534917969920 327.825330  -0.957018
 661020102417737728 220.856880   4.379079
 661045391185176576 221.374670   3.924038
1464802700678948864 140.035940   8.150363
1467108102926002176 142.517770   8.782878
3112113587557001216 223.832580  16.506121
3115468742390212608 230.370830  15.137564
 513423308826372096  42.077324  -8.960466
 514607482698491904  43.175761  -8.804368
 516823823648057344  48.267476  -8.398563
 516825747793405952  48.350970  -8.212412
 516841415834101760  48.154727  -7.572845
 516954115775948800  49.277771  -6.502155
 517967865496758272  50.572796  -7.090682
 517997277432801280  49.472618  -7.297829
 518003049868847104  49.858574  -6.121124
 518071769345583104  51.257004  -5.745803
 760034707374106624 341.101530  -0.162109
1489568922213574656 210.802250  54.348924
1489621149015894016 208.621500  54.330661
1490767119892113408 210.316820  54.418717
1490802579142109184 210.549170  55.814027
1490816872793270272 211.301730  55.741853
1625960870049769472 176.532500  47.494769
1628173912514783232 177.948420  48.683136
1969237751173769216 162.058490  13.217021
1969246547266791424 161.913800  13.336127
1969283380906321920 160.531400  13.746999
1969295750412134400 160.563210  14.110087
1969337531853989888 161.761770  14.263350
2235029570145249280 191.127280  40.736902
2235035342581295104 191.637530  40.831020
2237199187068348416 192.536320  33.159152
2237265707521828864 191.849040  35.352066
2237289896777639936 192.170930  34.477606
2238322058352158720 166.341220  38.233815
2823862859367213056 174.946930  17.712263
3100830669161392128 232.503480  12.989325
3100880147184642048 233.846720  12.047599
3105268577716955136 212.652580  17.309904
3105276824054163456 212.824430  17.506449
3105295790629742592 212.496220  17.696114
3105367533763454976 213.070110  18.299460
 458390276445071360  38.197610   0.678104
 458394399613675520  38.255187   0.420840
 458396598636931072  38.381528   1.139892
 459528545874503680  40.880457   0.306821
 460536249120221184  42.161211  -0.271513
 740968343665666048  15.190926  -9.185733
 744367759026055168  21.318238  -8.873679
 744385076334192640  21.871794  -8.554276
1019076074354534400 158.132820  54.401044
1020212140130199552 161.343380  55.960374
1230769170346436608 356.008580   0.516610
1533579628139014144 161.989140  43.150340
1533601068615755776 163.219130  43.428398
1533628556406450176 163.944960  44.049663
2026722152060839936 201.002970   9.710202
2027862899938060288 203.116390   7.316443
2027865098961315840 203.205200   7.170086
2027865373839222784 203.177280   7.327256
2027888188705499136 203.907450   7.545217
2027893411385731072 204.115670   7.816233
2508596865721722880 181.180510  31.177287
2511990783205206016 183.899380  28.177643
2512023768554039296 184.969080  27.621004
2513080399412881408 184.403260  29.608028
3128947660417951744 225.401270  16.729684
 383973403150804992 200.608860  -2.418271
 640704979820111872 143.176250   2.533599
 642961727805220864 147.361100   4.003169
 643025224601724928 148.002980   4.150753
 643052987270326272 148.825280   4.270014
 644161295041456128 150.188370   4.734323
1792534681560836096 139.579170  33.556966
1792554197892229120 139.939560  33.744998
1792555572281763840 139.991090  33.927431
1792566017642227712 140.003010  33.002792
1792567117153855488 139.900150  33.428333
1792572339834087424 140.153890  33.074724
1792586083729434624 140.443000  33.311141
1793675699769337856 141.816830  34.427195
1794693572675528704 146.628760  34.916837
1794719686076688384 144.869320  33.848965
1794840082599929856 145.829800  36.247822
2184311846729705472 141.229630  26.774674
2408390675507734528 219.366070  25.765557
3132375113912051712 234.132020  16.607776
3133522728032692224 208.290640  24.377010
 595671728315721728 205.300130   1.779828
 595709936344786944 205.052380   2.480124
 596829239198640128 206.929710   3.411491
 600252293236942848 213.713950   3.130926
 601270715932502016 215.787230   1.671569
 860251063171704832 132.898540  47.557688
 861468222812088320 137.549540  50.401319
 862513858252662784 137.665270  50.379842
 863585057539909632 143.487010  51.529088
1938968204365817856 233.675710  10.300151
2162916173979609088 117.645930  16.368572
2165134713600108544 121.556020  17.706578
2165183641867544576 119.878630  17.491434
2165257034268698624 121.971230  18.911792
2165278474745440256 122.490510  18.684038
2168539076444055552 124.771260  21.791401
3117763977677924352 208.094770  21.539353
3118861564875139072 208.795500  21.326446
3118903071439087616 210.279670  21.242945
3119982517264869376 211.219490  21.633510
 470761706352568320   9.598857  15.039593
 726318726571386880 349.769920  -8.485093
 731837999058282496   0.883873 -10.744671
1889262025423480832 231.533130  41.676068
1890482203687675904 231.525660  41.670660
2504134497730062336 179.285400  30.392300
