        ra        dec
174.836600  67.363376
175.039340  67.361672
175.501200  67.282941
175.722630  67.440448
175.760980  67.346436
175.894920  67.352197
175.940410  67.384416
175.991380  67.374844
176.144350  67.286360
176.114920  67.367564
176.826620  67.369160
176.875140  67.345996
178.405180  67.574623
178.827170  67.553172
181.108080  67.645109
182.979800  67.494107
185.129320  67.654702
185.253020  67.662182
186.133950  67.589585
187.338320  67.683697
188.274220  67.653153
188.460180  67.574143
189.259590  67.590302
189.889280  67.592784
190.095840  67.453851
190.327090  67.473530
190.423010  67.551127
191.471140  67.515479
191.822290  67.473748
191.888820  67.387881
191.951190  67.514235
192.112430  67.418819
195.735820  67.232700
196.393800  67.169017
197.189400  67.111739
197.306350  67.160884
197.427350  67.054488
157.078910  65.425428
157.213350  65.405481
158.564550  65.732360
159.236970  65.831779
159.774810  65.926268
160.310290  65.981229
160.858560  66.070050
161.300530  66.258381
161.616570  66.272371
161.731040  66.314759
165.191780  66.789370
165.483380  66.929269
167.509660  66.987992
169.025210  67.255258
170.638600  67.353755
171.105820  67.327813
171.811240  67.538131
173.069080  67.532562
172.867150  67.515580
173.281760  67.584459
173.389650  67.536105
173.865670  67.708681
173.674830  67.716922
174.019400  67.619639
174.533430  67.786801
174.863440  67.774653
175.128160  67.828945
175.623090  67.703610
175.804710  67.737332
177.184590  67.835248
177.295700  67.795441
178.578100  67.862994
178.589150  67.896157
178.635850  67.810817
179.733840  67.892390
180.403110  68.024132
182.665450  68.028713
183.889600  67.999022
184.767950  68.033351
187.105340  68.051666
189.089010  67.984493
189.494670  67.884075
190.222420  67.935265
190.505180  67.895057
191.000210  68.000116
191.628970  67.789966
160.377930  66.425537
161.091680  66.723389
161.439750  66.702028
162.776020  66.825284
163.129240  66.887631
163.782320  67.064587
163.775460  67.155066
164.163190  67.180247
164.997960  67.293684
165.105640  67.200435
165.098630  67.325975
166.981050  67.488075
167.459200  67.414936
168.230190  67.613859
168.715910  67.654289
168.848180  67.746999
168.893990  67.749763
169.078280  67.663409
169.157460  67.732609
169.230790  67.723812
169.307930  67.689647
169.440790  67.705963
169.826960  67.691607
170.168640  67.778879
170.285830  67.795826
170.639610  67.772431
170.863780  67.811619
171.296660  67.966738
171.428920  67.833716
171.418000  67.970403
171.765980  67.866579
173.002100  67.916532
173.107050  67.981462
173.165530  67.922923
173.282860  67.948536
173.880500  68.053872
174.768410  68.143972
174.872660  68.171905
175.030400  68.093606
175.195290  68.162932
175.777230  68.121601
175.778670  68.154866
180.404860  68.316888
182.468260  68.336646
182.793620  68.440454
184.045660  68.482948
185.919210  68.480184
187.154050  68.392752
189.088310  68.373042
189.270560  68.437706
189.388810  68.409275
189.643230  68.386090
190.336300  68.374017
190.748690  68.398411
191.942840  68.399225
164.005810  65.087775
164.152560  65.057488
165.450170  65.358682
165.668300  65.302119
165.994170  65.254241
166.950710  65.405865
166.916220  65.480854
168.064390  65.683579
169.070860  65.750297
170.155390  65.774230
170.335380  65.853351
170.427590  65.820915
173.678480  67.960443
166.831290  67.363564
170.555910  65.887026
170.616950  65.924590
170.972900  65.859335
171.425240  65.910731
171.337280  65.939627
173.188450  66.023263
173.527720  66.217554
174.281990  66.162138
174.379230  66.105846
175.921790  66.228277
177.600880  66.419650
178.127410  66.386462
179.411990  66.409730
179.560990  66.532765
180.041390  66.407569
180.203400  66.435455
180.582400  66.555480
181.081840  66.599321
181.115760  66.510827
181.140290  66.582399
181.453680  66.571717
183.012850  66.644018
183.139690  66.614551
185.841110  66.597494
186.208370  66.460874
186.853430  66.524668
187.247410  66.627976
187.334310  66.471887
188.324430  66.480707
189.192610  66.421399
189.069850  66.598974
189.070420  66.524605
189.540100  66.439929
190.068560  66.483580
190.207860  66.405603
190.530380  66.440470
191.728520  66.391538
192.082290  66.361854
192.141690  66.328469
192.184140  66.412554
192.284630  66.389670
192.343880  66.414935
192.765290  66.336228
193.079160  66.377196
194.001480  66.322183
195.282660  66.208444
195.710310  66.278348
196.015220  66.265711
161.706910  65.200916
161.987830  65.180618
163.848440  65.419860
163.881270  65.478530
163.907630  65.525971
164.314530  65.552767
164.785910  65.565045
165.018830  65.589482
167.578340  65.909685
167.526190  66.062971
167.758380  65.918720
168.081230  66.007985
168.310750  65.994246
168.233420  66.173138
168.454050  66.108738
168.933720  66.088227
169.158530  66.181558
169.171430  66.199991
169.458980  66.113785
169.791690  66.216410
170.091350  66.230087
170.261730  66.369676
170.428100  66.201233
170.317100  66.390295
170.411680  66.309434
170.562130  66.310225
171.171840  66.350633
171.975150  66.362278
173.437910  66.596065
173.859810  66.688304
174.366940  66.541085
174.333200  66.633799
174.455540  66.621983
174.583860  66.732951
175.313720  66.583353
175.906320  66.779056
176.079310  66.745761
176.530220  66.684474
176.896020  66.797245
177.610420  66.737272
177.672320  66.884508
178.165330  66.836476
178.015010  66.858593
178.670720  66.840646
178.745280  66.788452
178.942270  66.959204
181.457550  66.863789
183.927420  66.883743
183.988220  66.995278
184.008160  67.029963
185.005060  66.998793
186.098220  67.043014
186.186810  66.987002
187.134350  66.983057
188.672230  66.992109
189.243630  66.972705
189.310960  67.010997
189.362930  66.937961
189.455420  66.933422
189.746140  66.846177
190.632880  66.948233
190.604410  66.802030
190.792520  66.809698
192.266610  66.814228
192.970680  66.714503
193.044340  66.791730
193.761760  66.674114
195.268520  66.643948
196.069790  66.649605
196.920980  66.585027
159.908840  65.345529
160.242620  65.416076
160.935420  65.505343
161.582960  65.598808
161.582960  65.598808
162.450110  65.700103
162.849930  65.818462
162.976700  65.718415
163.052610  65.935720
163.516320  65.868885
163.609030  65.798851
164.030970  65.912024
165.554400  66.167416
165.629980  66.231434
165.916510  66.209160
166.480780  66.337385
168.492660  66.438427
169.042040  66.624107
170.512440  66.763633
170.576020  66.766583
170.636170  66.755984
170.727780  66.771338
170.760550  66.749956
170.742530  66.794739
170.948030  66.677108
171.603100  66.901100
171.923770  66.891170
172.789810  67.025878
173.483070  67.018642
173.963950  66.999788
174.343370  67.145113
174.680720  66.994755
175.299340  67.024291
175.829270  67.139306
175.885530  67.038514
176.300730  67.118049
176.722600  67.207685
177.823410  67.312343
179.022170  67.278199
179.565680  67.409121
180.547710  67.321376
181.477560  67.462700
182.779110  67.472499
184.873350  67.448879
185.869320  67.345207
187.374920  67.446001
188.380660  67.293801
188.390670  67.461886
188.682800  67.371480
188.748480  67.257594
188.841020  67.436620
189.079960  67.424717
189.950090  67.384549
189.957350  67.238172
190.601700  67.228521
191.015180  67.231967
191.343100  67.177554
191.434050  67.311080
192.626820  67.256539
193.389010  67.149599
194.280920  67.116517
194.832620  67.089774
194.509970  67.169637
194.697240  67.207502
196.979420  67.006132
196.963240  66.901801
197.192120  66.868952
159.641680  65.618608
160.510360  65.865844
161.478670  65.949096
161.797930  66.011041
162.635360  66.281688
163.930260  66.474063
164.803480  66.430464
164.964110  66.580031
165.861670  66.669720
165.918670  66.569578
166.305500  66.742543
166.683100  66.852697
167.218140  66.717985
167.164870  66.777326
169.073210  66.995228
170.567110  67.189330
170.564170  67.221860
170.515140  67.093840
170.746900  67.208709
170.889840  67.186092
